question,answer,ground_truths
What are the prominent landmarks to identify Capo Mele from the sea?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What are the prominent landmarks to identify Capo Mele from the sea? 
Context: fronted by above-water rocks. A large church, with a bell tower
and a two-story building attached  to its E side, dominates this
part of the coast. A smaller chur ch, with a pointed bell tower, is
situated nearer to the cape.
15.23Secca del Capo, an isolated shoal, lies about 3.2 miles NE of
Capo Faro. This shoal has a depth of 8m and fishing boats are
often found in its vicinity. <|end|>
<|assistant|> The prominent landmarks to identify Capo Mele from the sea are the large church with a bell tower and a two-story building, and the smaller chapel with a pointed bell tower. Additionally, the isolated shoal known as Secca del Capo, located about 3.2 miles northeast, serves as a reference point.","A light is shown from a prominent tower with a dwelling, 25 meters high, standing on the cape. A signal station surmounts the summit of the cape."
Where can I anchor near the port of San remo ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Where can I anchor near the port of San remo ? 
Context: ters. Vessels may only anchor in one of the six designated an-chorage areas after obtaining permission from the
harbormaster at Trapani. Pilotage is available and local knowl-
edge is recommended when entering the port.
14.2Punta San Leonardo (36°50'N., 11°55'E.), a low point, is
located at the NW end of the is land, close E of Pantellaria. A

Sector 10. Italy—West Coast—Ruisseau Saint-Lo uis to Promontorio di Piombino    247
Pub. 13110.31Anchorage.— Anchorage can be taken in the harbor under
the directions of the pilot. Ve ssels can anchor, in 6 to 12m,
thick mud, good holding ground. The surrounding mountainsand the long detached breakwate r give the roadstead excellent
protection from the sea and weather. <|end|>
<|assistant|> You can anchor near the port of Sanremo in the harbor under pilot direction, in 6 to 12 meters of thick mud, which provides good holding ground. The surrounding mountains and the long detached breakwater offer excellent protection from the sea and weather. However, ensure to obtain permission from the harbormaster at Trapani before anchoring.","Vessels can anchor, in a depth of 12 meters, sand, close east of the harbor entrance. The holding ground is good, but anchorage is not advisable with strong south (S) winds."
Please can you describe the port of Carloforte ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Please can you describe the port of Carloforte ? 
Context: and are conspicuous from seaward.
12.47 Carloforte (39°08'N., 8°19'E.) (World Port Index No.
39250), a small harbor, lies on th e E side of Isola di San Pietra
and fronts the only town on the island. It is sheltered by two
breakwaters and mostly used by ferries and fishing boats.
12.47All winds cause surf in the har bor, especially winds from the <|end|>
<|assistant|> Carloforte is a small harbor located on the east side of Isola di San Pietra, primarily used by ferries and fishing boats. It is sheltered by two breakwaters, providing some protection from the sea. The port experiences surf, particularly from winds coming from certain directions.",Carloforte has a small harbor protected by two breakwaters. One almost perpendicular to the other forming a narrow entrance.
Is there a VHF channel to contact for information about the passage of the Strait of Messina ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Is there a VHF channel to contact for information about the passage of the Strait of Messina ? 
Context: 13.75Caution.— Submarine cables, which extend across the Stret-
to di Messina, are landed on th e coast, 0.5 mile SW of BagnaraTugs
VHF VHF channels 9 and 16
Telephone 39-0966-714-241
Facsimile 39-0966-714-240
E-mail contugsrl@contug.it
Web site http://www.scafi.it/contug.html
Maritime Advisory Service
VHF VHF channels 11 and 16
Telephone 39-0966-51208
Facsimile 39-0966-51208

val vessels.
15.44Anchoring, fishing, and underwater activities are prohibited
in the approaches to and within the port. 
Messina—Contact  Information
Harbormaster
Call sign Messina Harbormaster
VHF VHF channels 14 and 16Telephone39-090-45830
39-090-344-444 (Operator)
Facsimile39-090-59350
39-090-573-0832
E-mailcpmessina@mit.gov.it
so.cpmessina@mit.gov.it <|end|>
<|assistant|> Yes, there are VHF channels 14 and 16 for contacting information about the Strait of Messina. You can also reach out via telephone or email.","The VHF channels are 10, 13, 14, and 16."
To what winds is the port of Trapani exposed ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: To what winds is the port of Trapani exposed ? 
Context: 14.18Isolotto Asinelli (38°04'N., 12°32'E.), a low and black rock,
lies 1.5 miles W of Punta Pizzolungo. A light is shown from astructure, 6m high, standing on this rock.
14.19 Trapani (38°01'N., 12°30'E.) (World Port Index No.
40150), a harbor protected by br eakwaters, is the principal port
on the W coast of Sicilia.
14.19Winds—Weather.— The harbor is exposed to all winds and

of the heights behind it. The port fronts the city and is protect-
ed by breakwaters.
13.46Winds—Weather.— Winds from the N (the Tramonta),
which blow down from the mountains in violent squalls, can
put a strain on the moorings of vessels. Winds from the S andSSW cause a surf, impose a hea vy strain on moorings, and can
make entry difficult. <|end|>
<|assistant|> The port of Trapani is exposed to all winds, including violent squalls from the N (Tramonta) and winds from the S and SSW that cause surf and strain on moorings.","The harbor is exposed to all winds and is open to the W. In the spring, strong seasonal SE winds can make entry hazardous"
What is the marrobbio phenomenon ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the marrobbio phenomenon ? 
Context:  <|end|>
<|assistant|> The marrobbio phenomenon refers to the sudden and intense coastal flooding caused by strong storm surges, typically associated with tropical cyclones or intense low-pressure systems. This can lead to significant damage to coastal infrastructure and pose risks to human life. The term ""marrobbio"" is derived from the Italian word ""mare,"" meaning sea, indicating its marine origin.","Marrobbio is a rare meteorological phenomenon observed in the Mediterranean, particularly along the southern west (SW) coast of Sicily. It involves sudden and significant oscillations in sea level, similar to a small tsunami, caused by atmospheric pressure changes and wind patterns. These rapid changes can lead to temporary flooding in coastal areas."
What is the maximum vessel size that can be accommodated at the port of San Remo?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the maximum vessel size that can be accommodated at the port of San Remo? 
Context: WSW winds, it may be co nsiderably increased.
13.34Depths—Limitations.— The maximum draft for vessels en-
tering the harbor is 8.35m. This limit may be increased to
8.65m at high tide. The main commercial facilities include Mo-lo di Levante, 247m long, with depths of 8.3 to 9m alongside;
and Banchina Crocelle, 300m long, with depths of 6 to 7m

to 6.5m alongside. Vessels up to 140m in length or with a max-imum draft of 5.2m can be ac commodated. Ther e are facilities
for small craft and yachts. For more berthing information see
the table titled Marsala—Berth Information .
14.21Aspect.— Prominent landmarks in the town include the gray
dome of the cathedral and a 14-story building standing close <|end|>
<|assistant|> The port of San Remo can accommodate vessels up to 140 meters in length or with a maximum draft of 5.2 meters.",Vessels up to 100 meters in length and with a draft of 4.3 meters can be accommodated at the port of San Remo.
What are the navigational hazards near the island of Giglio in the Tuscan Archipelago?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What are the navigational hazards near the island of Giglio in the Tuscan Archipelago? 
Context:  <|end|>
<|assistant|> The navigational hazards near the island of Giglio in the Tuscan Archipelago include shallow waters, submerged rocks, and strong currents, which can pose significant risks to vessels. These natural obstacles require careful navigation and sometimes the assistance of local pilots or charts to safely pass through. Additionally, the area is prone to sudden weather changes, further complicating sea travel.",A restricted area lies 4 miles W of Isola Giglio. Mariners should consult local authorities before entering the area.
What are the possible dangers in entering the port of Civitavecchia at night ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What are the possible dangers in entering the port of Civitavecchia at night ? 
Context: 13.12Caution.— Care should be exercised when entering the har-
bor at night as the navigation lights are not easily distinguished
from the lights of the town.
13.12Major developments are underway within the port. For de-
tails regarding the latest information and changes in depths,
contact the Port Authority. 
Civitavecchia to Fiumicino
13.13 Capo Linaro (42°02'N., 11°50'E.) is low and barren. <|end|>
<|assistant|> Entering the port of Civitavecchia at night can be dangerous due to the difficulty in distinguishing navigation lights from the town's lights, potentially leading to navigation errors. Additionally, the port's major developments might complicate the visual landscape further. For the most accurate and updated information, contacting the Port Authority is advised.",Care should be exercised when entering the harbor at night as the navigation lights are not easily distinguished from the lights of the town.
Can you describe to me the typical winds that affect the port of Trieste in winter ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Can you describe to me the typical winds that affect the port of Trieste in winter ? 
Context: Mare Grande. Winds from the SE , especially in winter, are
strong and may disturb cargo handling by vessels berthed inPorto Mercantile. These winds us ually also bring mist and rain,
especially during May and June. In spring, strong W gusts of
wind blow over the roadstead. Th ey are generally of a brief du-
ration and slacken towa rds sunset. Winds from the E and S usu-
ally bring fog.

Gusts from the N, which may blow suddenly in winter, are, al-though rare, violent and dangerous for vessels in the harbor.
The Garigliano (wind from the NE to ENE) makes berthing
and unberthing difficult, particularly during the winter. Strongwinds from SE to SSW create a st rong surf along the coast, es-
pecially at Gaeta-Porto Salvo.
13.22Depths—Limitations.— The approach to the roadstead is <|end|>
<|assistant|> In winter, the port of Trieste is typically affected by strong winds from the Southeast (SE). These winds can disturb cargo handling by vessels and often bring mist and rain. Additionally, sudden gusts from the North (N) can be violent and dangerous for vessels in the harbor.","From September to March, winds alternate usually between the NW and NE. The NE winds blow sometimes with such force as to cause a sea in Mare Piccolo. Winds from the SW raise a lively sea and cause high water in Mare Grande. Winds from the SE, especially in winter, are strong and may disturb cargo handling by vessels berthed in Porto Mercantile."
What currents are there in the port of Chioggia ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What currents are there in the port of Chioggia ? 
Context:  <|end|>
<|assistant|> In the port of Chioggia, the Adriatic Sea's currents, influenced by the tides and local wind patterns, can be observed. These currents typically flow counterclockwise in the Adriatic Sea, affecting navigation and local marine life. The port's design and location may also impact water circulation patterns within its confines.","Currents are strong and are mostly influenced by rain, run-off, and winds. With strong winds from the NE and SE, the current between the breakwaters can attain a rate up to 4 knots."
What is the draught depth in the port of Rimini ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the draught depth in the port of Rimini ? 
Context: Rimini, a resort, stands on the SE bank of the river at the foot
of some wooded hills.
18.25The harbor has depths of 2.9 to 3.7m and is subject to silting.
It may be contacted on VHF channel 11 or 16 and is used
mostly by small craft,  pleasure craft, small ferries, and yachts.
Vessels with a maximum draft of 3.2m can be accommodated.Fano—Contact Information  
Port
Call sign Fano Port Radio <|end|>
<|assistant|> The draught depth in the port of Rimini ranges from 2.9 to 3.7 meters, but it is subject to silting which may affect this depth. Vessels with a maximum draft of up to 3.2 meters can be accommodated. However, the exact current draught depth may vary due to silting.",The harbor has depths of 2.9 to 3.7m and is subject to silting.
Is the roadstead in Portoferraio Bay safe for anchorage?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Is the roadstead in Portoferraio Bay safe for anchorage? 
Context: town. The depths in this area are reported to be shallower be-
cause of silt from the nearby river.
16.5Soverato Marina provides one of the safest anchorages along
this coast. Vessels can anchor, in a depth of 29m, sand, about
0.1 mile offshore and ENE of the church. Local knowledge is
advisable. This roadstead is pa rtially protected by a sandspit <|end|>
<|assistant|> The roadstead in Portoferraio Bay is relatively safe for anchorage, as it is partially protected by a sandspit. However, the depths are shallower due to silt from a nearby river, so local knowledge is recommended. Vessels can anchor in a depth of 29m, about 0.1 mile offshore and ENE of the church.","Roadstead of Portoferraio affords anchorage to vessels of all sizes, but the bottom, being of soft mud, is not a good holding ground. With SE winds, which prevail in the area, vessels are liable to drag anchor, even when riding to two anchors. It is important to stay clear of the ferry turning areas and the harbor approaches. While ferry wash can sometimes cause some movement, it does not pose a significant danger for anchored vessels."
What prohibitions exist in the Portofino Marine Nature Reserve ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What prohibitions exist in the Portofino Marine Nature Reserve ? 
Context: and should be given a wide berth. 
10.29A circular prohibited area is lo cated in the Seno di Fossola as
shown on the chart.
10.29A Marine Nature Reserve extends from Capo dell’ Isola to
Punta San Pietro. The reserve in cludes sea areas off Isola del
Tinto and the W coast of Isola Palmaria. Restrictions and pro-
hibitions are in force in the re serve area. Mariners should con-

fishing prohibited area lies in Golfo Spurlatta and may best be
seen on the chart. 
12.20A prohibited area, marked by lighted beacons, surrounds Iso-
la Molarotto and may best be seen on the chart. 
12.20A marine nature reserve, as seen on the chart, has been estab-
lished in the vicinity of Isola Tavolara. Vessels over 500 gt
transporting goods or passengers are prohibited from navigat- <|end|>
<|assistant|> In the Portofino Marine Nature Reserve, fishing is prohibited, especially in the Golfo Spurlatta and around Isola Molarotto. Additionally, vessels over 500 GT transporting goods or passengers are not allowed to navigate in the vicinity of Isola Tavolara. These restrictions aim to protect the marine environment and its biodiversity.","In the Portofino Marine Nature reserve it is forbidden to anchor, fish and even enter unless authorised."
On which side of the port of La Spezia is the naval base located?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: On which side of the port of La Spezia is the naval base located? 
Context: Sector 10. Italy—West Coast—Ruisseau Saint-Lo uis to Promontorio di Piombino    243
Pub. 131zia, is protected by Diga Foran ea, a detached breakwater, and
forms the extensive harbor of La Spezia. The port has commer-
cial facilities, but is also a main naval base with a large naval
shipyard situated in its NW part.
10.31Tides—Currents.— Tides are almost negligible. See the ta- <|end|>
<|assistant|> The naval base at the port of La Spezia is located in its northwestern part.",The naval base is situated in the NW part of the harbor.
